,N,#procs,time_mean,time_std,cpu_mean,cpu_std,instance,parallel
0,1,1,0.00234,0.000177,20.0,40.0,m5large,True
1,1,1,9.63e-05,2.31e-06,0.0,0.0,m5large,False
2,1,2,0.00231,9.340000000000001e-05,45.0,47.2,m5large,True
3,1,2,9.73e-05,1.49e-06,0.0,0.0,m5large,False
4,1,4,0.00232,4e-05,10.0,30.0,m5large,True
5,1,4,9.86e-05,2.18e-06,0.0,0.0,m5large,False
6,1,8,0.0024,0.000103,30.0,45.8,m5large,True
7,1,8,0.000105,1.63e-05,0.0,0.0,m5large,False
8,1,16,0.00242,3.77e-05,45.0,47.2,m5large,True
9,1,16,0.000106,1.8100000000000003e-05,10.0,30.0,m5large,False
10,1,32,0.00238,2.58e-05,20.0,40.0,m5large,True
11,1,32,9.93e-05,2.62e-06,0.0,0.0,m5large,False
12,2,1,0.00246,3.47e-05,0.0,0.0,m5large,True
13,2,1,0.00010800000000000001,2.47e-06,0.0,0.0,m5large,False
14,2,2,0.00418,0.000196,65.0,45.0,m5large,True
15,2,2,0.00011100000000000001,1.4599999999999999e-05,0.0,0.0,m5large,False
16,2,4,0.00399,0.00020299999999999997,55.0,47.2,m5large,True
17,2,4,0.00010800000000000001,1.84e-06,0.0,0.0,m5large,False
18,2,8,0.004,0.000202,45.0,47.2,m5large,True
19,2,8,0.00011999999999999999,2.3100000000000002e-05,10.0,30.0,m5large,False
20,2,16,0.00405,0.00021600000000000002,40.0,49.0,m5large,True
21,2,16,0.00011200000000000001,4.7e-06,0.0,0.0,m5large,False
22,2,32,0.0039700000000000004,0.000212,45.0,47.2,m5large,True
23,2,32,0.000109,2.16e-06,0.0,0.0,m5large,False
24,4,1,0.00247,9.18e-05,35.0,45.0,m5large,True
25,4,1,0.000162,7.74e-06,0.0,0.0,m5large,False
26,4,2,0.00434,0.000157,65.0,39.1,m5large,True
27,4,2,0.000171,1.1e-05,10.0,30.0,m5large,False
28,4,4,0.007090000000000001,0.00022799999999999999,90.0,30.0,m5large,True
29,4,4,0.000166,2.32e-06,0.0,0.0,m5large,False
30,4,8,0.00677,0.000352,85.0,32.0,m5large,True
31,4,8,0.000165,2.23e-06,0.0,0.0,m5large,False
32,4,16,0.00686,0.00041900000000000005,86.7,30.5,m5large,True
33,4,16,0.000166,5.23e-06,0.0,0.0,m5large,False
34,4,32,0.00671,9.17e-05,93.3,13.3,m5large,True
35,4,32,0.000167,2.8e-06,0.0,0.0,m5large,False
36,8,1,0.0028899999999999998,4.5e-05,30.0,40.0,m5large,True
37,8,1,0.000599,2.17e-05,10.0,30.0,m5large,False
38,8,2,0.00448,0.00014199999999999998,45.0,41.5,m5large,True
39,8,2,0.000586,1.51e-05,10.0,30.0,m5large,False
40,8,4,0.00743,0.000412,91.7,17.1,m5large,True
41,8,4,0.000588,1.49e-05,0.0,0.0,m5large,False
42,8,8,0.0131,0.000352,96.7,9.99,m5large,True
43,8,8,0.00059,2.02e-05,10.0,30.0,m5large,False
44,8,16,0.0123,0.000138,96.7,9.99,m5large,True
45,8,16,0.00058,9.74e-06,0.0,0.0,m5large,False
46,8,32,0.0124,0.00024300000000000002,96.7,9.99,m5large,True
47,8,32,0.000603,2.64e-05,0.0,0.0,m5large,False
48,16,1,0.00628,5.02e-05,26.7,41.6,m5large,True
49,16,1,0.0039299999999999995,6.759999999999999e-05,15.0,22.9,m5large,False
